"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"RSTD","28",81.67,214.66,435.32,446.98,0.0181549386256518,0.816990652269788,0.57759974287901
"RSTD","29",58.89,248.32,502.64,514.3,0.611775184314254,0.999997630671435,0.0363897750951702
"RSTD","31",93.33,71.1,148.2,159.86,4.46340392892016e-07,0.952561474482821,0.84567135667623
"RSTD","32",82.78,149.85,305.7,317.36,1.22313961006378e-08,0.253460292783323,0.476019528792108
"RSTD","34",57.5,253.1,512.2,523.86,0.417372067344215,0.499195169801725,0.0325013592845452
"RSTD","35",93.06,90.5,187,198.66,0.0174160835642514,0.14149451864211,0.751862728142986
"RSTD","36",90,182.51,371.02,382.68,0.00412822280979491,0.0154594697141018,0.823249781279814
"RSTD","37",91.67,203.92,413.84,425.5,0.0205042993333243,0.6134177219264,0.745152196336531
"RSTD","38",70.56,189.13,384.26,395.92,0.967418921268148,1.37184942868047e-06,0.0572366619848992
"RSTD","39",47.22,281.28,568.56,580.22,0.427316384744069,0.370699571458172,0.0152802137985345
"RSTD","40",84.17,197.41,400.82,412.48,0.0604629923147779,0.996734737621087,0.716376005186799
"RSTD","41",57.78,255.36,516.72,528.38,0.221990716930949,0.167039106511625,0.0297661404292716
"RSTD","42",95.28,56.08,118.16,129.82,0.0225164660878965,0.178547924950369,1.01543843361943
"RSTD","43",94.72,83.93,173.86,185.52,0.00116593321815642,0.900653019439915,0.888085704636817
"RSTD","44",95,79.98,165.96,177.62,0.0227077611287924,0.901325724608795,0.937338138472392
"RSTD","45",92.22,120.13,246.26,257.92,0.012244074513683,0.855937894793751,0.790825044099697
"RSTD","46",90,99.56,205.12,216.78,4.47422546315394e-06,5.04999487241236e-05,0.672581245936245
"RSTD","47",53.06,282.87,571.74,583.4,0.3026564026396,0.411262829552842,0.0145498677157029
"RSTD","48",51.94,223.89,453.78,465.44,0.216401578787448,0.338784913882468,0.0285003390990112
