"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"Utility","26",48.61,237.48,480.96,492.62,0.413724326295778,0.343516472261399,0.104671118315309
"Utility","27",60.56,250.27,506.54,518.2,0.421857917114934,0.230752622440576,0.665430937111868
"Utility","28",57.22,266.2,538.4,550.06,0.394388434327768,0.301412863602637,0.454758090219671
"Utility","29",53.61,258.9,523.8,535.46,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","31",56.67,220.15,446.3,457.96,0.410580906293231,0.217434949243338,0.56109172202155
"Utility","32",59.44,261.28,528.56,540.22,0.423886705517779,0.243047058771417,0.505018433235499
"Utility","34",55.56,240.39,486.78,498.44,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","35",58.89,236.42,478.84,490.5,0.401068389658045,0.265621915871697,0.872534714796654
"Utility","36",53.33,271.41,548.82,560.48,0.36472137412858,0.189098405670506,0.687626588785011
"Utility","37",55,249.14,504.28,515.94,0.455034383096112,0.150948603374708,0.726360197891183
"Utility","38",50.56,265.92,537.84,549.5,0.413724326295778,0.343516472261399,0.104671118315309
"Utility","39",53.06,239.79,485.58,497.24,0.413724326295778,0.343516472261399,0.104671118315309
"Utility","40",56.39,239.95,485.9,497.56,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","41",55.83,241.78,489.56,501.22,0.40718666278244,0.297594503598225,0.449943290136498
"Utility","42",56.94,239.76,485.52,497.18,0.409515865720778,0.3431128052265,0.531695060376486
"Utility","43",71.67,261.97,529.94,541.6,0.0458311666734517,0.59998895926401,8.47453165100887
"Utility","44",55.83,237.73,481.46,493.12,0.438025945653044,0.291961830755629,0.510982855684111
"Utility","45",55.28,249.07,504.14,515.8,0.44866744572938,0.189603874904818,0.573669223861685
"Utility","46",55.28,218.32,442.64,454.3,0.411127236999071,0.216718458053427,0.60613547007298
"Utility","47",52.78,289.51,585.02,596.68,0.413724326295778,0.343516472261399,0.104671118315309
"Utility","48",55,279.61,565.22,576.88,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","49",53.89,251.43,508.86,520.52,0.423886705517779,0.351350917559217,0.403361794509339
"Utility","50",67.5,164.04,334.08,345.74,0.0948406609240919,0.301228899974376,3.53904571849853
"Utility","51",58.06,294.56,595.12,606.78,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","52",49.17,239.69,485.38,497.04,0.413724326295778,0.343516472261399,0.104671118315309
"Utility","53",58.61,265.69,537.38,549.04,0.446515423979582,0.279479317944588,0.493959743900916
"Utility","54",57.78,260.69,527.38,539.04,0.413724326295778,0.343516472261399,0.104671118315309
